name,country_codes,avg_estimated_travel_time,security_deposit,weekly_price,monthly_price,price,Id,
Room double bed $ 740 for 2 weeks,AU,1.336805556,NULL,NULL,NULL,53,147,
"Spacious, Sunny Room in Park Slope",US,-7.5,NULL,NULL,NULL,85,148,
Kiahuna 307: Corner Condo Over The Moir Gardens,US,-7.5,0,NULL,NULL,246,149,
Ranch Abode Loft in Bushwick,US,-7.5,250,NULL,2250,99,150,
"Very nice location, cozy home!",TR,1.838541667,NULL,NULL,NULL,47,151,
"Mahalo Aina Sanctuary, Dreamtime Room",US,-7.5,NULL,NULL,NULL,135,152,
Eco Hale Hawaii in the Rainforest Lots Of Aloha,US,-7.5,275,530,NULL,80,153,
BEST HOME in the BlueMosq area!,TR,1.838541667,NULL,NULL,NULL,564,154,
Tamarama Penthouse apartment,AU,1.336805556,2000,NULL,NULL,225,155,
"Clean, Gay Friendly Room,in Harbiye",TR,1.838541667,NULL,NULL,NULL,132,156,
Bondi Apartment with Stunning Views,AU,1.336805556,900,NULL,NULL,171,157,
Appartment 5 minutes walk from the beach,AU,1.336805556,500,NULL,NULL,139,158,
Room with a gorgeous Bosphorus View,TR,1.838541667,NULL,NULL,NULL,42,159,
"907A -Clean, Close to Beach",US,-7.5,0,NULL,NULL,69,160,
710A -Bamboo Beauty!! Ocean view!,US,-7.5,0,NULL,NULL,94,161,
artra teracce room ................,TR,1.838541667,NULL,NULL,NULL,264,162,
Berk Guesthouse Superior Double,TR,1.838541667,NULL,NULL,NULL,385,163,
Luxury Apartment in Instambul,TR,1.838541667,0,NULL,NULL,322,164,
HALE KIPA 2 VACATION RENTAL,US,-7.5,NULL,325,1250,80,165,
Honolulu 1 BR/1Bath Condo - Hilton Hawaiian,US,-7.5,0,NULL,NULL,349,166,
"Park Slope Apt:, Spacious 2 bedroom",US,-7.5,250,1050,NULL,165,167,
UNFURNISHED SPACIOUS ONE BEDROOM (-CHEAP STAY-),US,-7.5,500,NULL,NULL,70,168,
Westin Kaanapali KORVS 2BR,US,-7.5,500,NULL,NULL,595,169,
Heart of Waikiki. Renovated(MS8),US,-7.5,NULL,NULL,NULL,135,170,
2+1 flat for rent,TR,1.838541667,NULL,NULL,NULL,148,171,
Roof Top Terrace,TR,1.838541667,NULL,NULL,NULL,221,172,
Modern Luxury-Family Friendly Condo,US,-7.5,400,NULL,NULL,250,173,
Westin Kaanapali KORVN 2BR,US,-7.5,500,NULL,NULL,595,174,
Artist Home by the Sea - a 4 minute walk to Beach!,US,-7.5,0,595,1950,125,175,
Exeptional Boshphorus View,TR,1.838541667,NULL,NULL,NULL,90,176,
Huge duplex apt. up to 8 in Taksim,TR,1.838541667,NULL,3163,9208,475,177,
Inner City Spacious Loft- City View,AU,1.336805556,0,NULL,NULL,80,178,
STUDIO APARTMENT + WIFI!!!!,AU,1.336805556,150,NULL,NULL,125,179,
Beautiful 3BR flat in the Center,TR,1.838541667,0,NULL,NULL,559,180,
Unit 310 Hawaiian King condo Waikik,US,-7.5,0,770,2200,97,181,
Hibiscus Hideaway in Kihei,US,-7.5,0,NULL,NULL,160,182,
Affordable and close to the city!,AU,1.336805556,NULL,420,NULL,65,183,
A1 Tradewinds Ranch House (2 story),US,-7.5,300,NULL,NULL,350,184,
Newly Renovated Studio Midtown East,US,-7.5,0,NULL,NULL,239,185,
Very Convenient Apartment,AU,1.336805556,NULL,NULL,NULL,70,186,
Room on the waterfront,AU,1.336805556,NULL,NULL,NULL,85,187,
"Beautiful Apt, Tropical Resort, Steps to the Beach",US,-7.5,500,NULL,NULL,174,188,
205 Punahoa 2 Bed Condo- Oceanfront,US,-7.5,NULL,NULL,NULL,311,189,
Affordable Ocean View in Paradise,US,-7.5,200,NULL,NULL,90,190,
Keauhou Hale at Volcano,US,-7.5,125,NULL,NULL,125,191,
Deluxe Suites Family room in taksim,TR,1.838541667,0,NULL,NULL,221,192,
Private Room on Bondi Beach,AU,1.336805556,NULL,NULL,NULL,70,193,
H. Potter theme place,US,-7.5,NULL,NULL,NULL,110,194,
"Shangri'La by the Sea, Kapoho Beach",US,-7.5,1000,NULL,NULL,650,195,
Exellent spot; light room w-balcony,TR,1.838541667,0,NULL,NULL,84,196,
Ocean View in the heart of Waikiki,US,-7.5,200,NULL,NULL,150,197,
Gorgeous Ocean View 2BD/2BA 106,US,-7.5,200,NULL,NULL,231,198,
Luminous Apartment in Nisantasi,TR,1.838541667,NULL,NULL,NULL,264,199,
Cosy Home at Galata,TR,1.838541667,NULL,NULL,NULL,369,200,
"Thriving city location, dining hub",AU,1.336805556,250,NULL,NULL,200,201,
Super Central Cozy private room,TR,1.838541667,0,NULL,NULL,148,202,
"Breathtaking Ocean Beach Condo Kaanapali , Maui!",US,-7.5,150,NULL,NULL,150,203,
Modern luxury Beach House,AU,1.336805556,3000,NULL,NULL,999,204,
Westin Kaanapali KORVS 2BR OCEAN VIEW,US,-7.5,500,NULL,NULL,799,205,
High Floor-Ocean View! 2 Bed/2 Ba/1 Pkg WBT#1804,US,-7.5,0,NULL,NULL,500,206,
Private entire second floor,US,-7.5,NULL,NULL,NULL,75,207,
Private room (Kurtuluş/İstanbul),TR,1.838541667,536,NULL,NULL,121,208,
Paradise Mopeds and beds 2 (Shared),US,-7.5,0,NULL,NULL,35,209,
Country Oasis Retreat,US,-7.5,NULL,NULL,NULL,65,210,
"Comfy Studio with private entrance,  awesome views",US,-7.5,NULL,NULL,NULL,58,211,
"Aloha, Kihei Bay Surf, New Pool and BBQ",US,-7.5,100,NULL,NULL,277,212,
Experience Dolphins Frolicing on the Kona Coast,US,-7.5,NULL,NULL,NULL,135,213,
Blue Mosque Special Apartment!,TR,1.838541667,NULL,NULL,NULL,765,214,
1201R Newly Renovated Waikiki Stay,US,-7.5,200,NULL,NULL,88,215,
"1201L Grand Studio, Waikiki BEACH!",US,-7.5,200,NULL,NULL,82,216,
Stunning Oceanfront. Amazing Views. 2 Bed 2 Baths,US,-7.5,0,NULL,NULL,299,217,
Westin Kaanapali KORVN Studio  v3,US,-7.5,500,NULL,NULL,324,218,
home,TR,1.838541667,NULL,NULL,NULL,63,219,
Hawaii by the Sea~Walk,US,-7.5,200,NULL,NULL,97,220,
The Safe Room For You Cirrus Tomtom,TR,1.838541667,NULL,NULL,NULL,100,221,
* Room Taste of Real İstanbul,TR,1.838541667,0,NULL,NULL,84,222,
Economy Single Room in Kumkapi,TR,1.838541667,NULL,NULL,NULL,448,223,
Big Room private Bath + Kitchen,US,-7.5,NULL,NULL,NULL,45,224,
4BR-5BR Hawaiian Dreams Beach House,US,-7.5,0,NULL,NULL,269,225,
"Heart of Honolulu, 2BD gem! Free Garage Parking!",US,-7.5,200,NULL,NULL,165,226,
Puamana Ocean Breeze Bungalow,US,-7.5,500,NULL,NULL,245,227,
"1 Stop fr. Manhattan! Private Suite,Landmark Block",US,-7.5,250,840,3300,130,228,
Home mate,TR,1.838541667,NULL,NULL,NULL,195,229,
"Near Airport private room, 2 bedroom granny flat**",AU,1.336805556,NULL,NULL,NULL,60,230,
"large, affordable, clean,convenient",US,-7.5,NULL,NULL,NULL,34,231,
"3bd/2ba Valley House Near Kaimuki, Upstairs",US,-7.5,500,NULL,NULL,299,232,
"Aloha Adventure, Family Friendly Tropical Vacation",US,-7.5,1500,NULL,NULL,249,233,
8th floor Delightful Balcony Suite w/ Ocean Views,US,-7.5,100,NULL,NULL,142,234,
Cozy Private Bedroom - Williamsburg,US,-7.5,100,NULL,NULL,60,235,
"Kuhio Shores 215: Oceanfront, AC, Whale Watching Views",US,-7.5,0,NULL,NULL,400,236,
Cozy apartment with cat at Ferikoy,TR,1.838541667,NULL,NULL,NULL,105,237,
"Large 1/1 in Waikiki, (Family Friendly!)",US,-7.5,300,NULL,NULL,119,238,
Mosman Apartment,AU,1.336805556,NULL,NULL,NULL,139,239,
"Studio, 20mins from airport,Istanbul Asian side",TR,1.838541667,527,NULL,NULL,121,240,
Cozy Comfy Suite of Rockaway Beach,US,-7.5,100,NULL,NULL,125,241,
Haena to re-open in 2019! Ocean Views! Newly added A/C in all rooms! - Haena Kai,US,-7.5,500,NULL,NULL,604,242,
아담하고 느낌이 편안한 방 Modern and cosy,AU,1.336805556,NULL,NULL,NULL,569,243,
~TROPICAL DREAM VACATION~ Ocean View,US,-7.5,0,NULL,NULL,99,244,
Stylish Flat in Center of Fashion,TR,1.838541667,NULL,NULL,NULL,369,245,
East Village Living,US,-7.5,NULL,NULL,NULL,140,246,
Sydney Centre City View Studio Apartment,AU,1.336805556,500,NULL,NULL,209,247,
"Direct Beach/Ocean front, 20 Steps to the Water!",US,-7.5,250,NULL,NULL,300,248,
Very special island bed and brunch,AU,1.336805556,0,684,2415,139,249,
Cozy Apartment in Bed-Stuy,US,-7.5,NULL,NULL,NULL,50,250,
Reduced! Special deal $119 Free Wifi,US,-7.5,0,NULL,NULL,119,251,
1 bed great location,TR,1.838541667,NULL,1582,5273,264,252,
"Sunny, Huge, Quiet Room Doorman Bld",US,-7.5,0,670,1200,73,253,
"2br/1ba,1 kitchentte, 10min walk to Waikiki beach",US,-7.5,NULL,NULL,NULL,130,254,
Perfect Williamsburg Summer Haven,US,-7.5,200,750,2300,125,255,
A GEM IN THE HEART  OF BYZANTINE  ISTANBUL,TR,1.838541667,0,NULL,NULL,385,256,
"CL405-Great Apartment, Everything on its Door Step",AU,1.336805556,1300,NULL,NULL,200,257,
Sydney CBD 3 Bedroom 1 Bathroom Apartment,AU,1.336805556,500,NULL,NULL,370,258,
Sunny & Spacious 1bdrm apt,US,-7.5,0,NULL,NULL,149,259,
Sunset Beach and Ocean Views,US,-7.5,NULL,NULL,NULL,95,260,
Chic Queen Bed in 5 Star Location!,AU,1.336805556,200,NULL,NULL,80,261,
"Super Studio in Wailea, Maui.",US,-7.5,0,NULL,NULL,150,262,
Manly Escape,AU,1.336805556,400,NULL,NULL,205,263,
Jolie Chambre-Grande Maison-10min Bondi beach,AU,1.336805556,NULL,NULL,NULL,50,264,
Self-contained beach accommodation near Manly,AU,1.336805556,150,NULL,NULL,151,265,
Bright Architectural Oasis w/Chef’s Kitchen #10305,US,-7.5,1000,NULL,NULL,375,266,
"Bronte, Waverley - Large Apartment with pool",AU,1.336805556,500,NULL,NULL,254,267,
Ohana House retreat,US,-7.5,100,NULL,NULL,55,268,
Merkezi Konum,TR,1.838541667,NULL,NULL,NULL,158,269,
Large Bedroom in amazing Apt - 10min Manhattan,US,-7.5,0,NULL,NULL,90,270,
Central Waikiki Beauty Close to Everything #AS1508,US,-7.5,100,NULL,NULL,118,271,
Bright studio in the heart of the east village,US,-7.5,0,NULL,NULL,142,272,
Little New York on Riley - 1BR Darlinghurst,AU,1.336805556,250,NULL,NULL,230,273,
Sydney Olympic Park High Level Stunning View Apt,AU,1.336805556,NULL,NULL,NULL,188,274,
"AVAILABLE, Poipu Beach, NEW OeanView Deck House",US,-7.5,480,NULL,NULL,425,275,
A Dorm Bed In the Best Location,TR,1.838541667,NULL,NULL,NULL,84,276,
Duplex in the heart of Williamsburg,US,-7.5,550,NULL,NULL,225,277,
Spacious & Cosy 1BR apt in Gramercy with balcony!,US,-7.5,600,1350,4600,199,278,
Perfect 1BDRM -Lincoln Center,US,-7.5,NULL,NULL,NULL,139,279,
Private Room in beach apartment in Bondi,AU,1.336805556,400,NULL,NULL,38,280,
Rushcutters Getaway,AU,1.336805556,200,NULL,NULL,199,281,
THIS LITTLE JEWEL IS UPDATED  - OCEANVIEWS,US,-7.5,0,NULL,NULL,145,282,
Terrific Master Bedroom/Bath in Great UWS Location,US,-7.5,250,NULL,NULL,125,283,
Chic City Pad with Leafy Outlook,AU,1.336805556,200,NULL,NULL,119,284,
Clarence House Apartment 1,AU,1.336805556,500,NULL,NULL,161,285,
Contemporary Remodeled Ocean View Villa in Kapalua,US,-7.5,300,NULL,NULL,245,286,
Beautiful 4 Bedroom House with pool,AU,1.336805556,1000,NULL,NULL,699,287,
Perfect in Park Slope: EZ 2 NYC,US,-7.5,500,1190,4200,175,288,
Elegance and Peace in Potts Point,AU,1.336805556,350,NULL,NULL,125,289,
Special Room+Wiffi,TR,1.838541667,NULL,NULL,NULL,591,290,
Nice room with a view in Taksim,TR,1.838541667,NULL,NULL,NULL,90,291,
Spacious Sunlit 1 Bedroom Williamsburg Apt,US,-7.5,500,NULL,NULL,125,292,
Cute studio with Sydney Harbour Bridge views!,AU,1.336805556,200,NULL,NULL,100,293,
Gorgeous Designer Decorated 2BR Loft,US,-7.5,600,NULL,NULL,550,294,
King Size Private Bedroom in Surry Hills,AU,1.336805556,NULL,NULL,NULL,100,295,
(6) STUDIO IN OLD CITY SULTANAHMET,TR,1.838541667,0,NULL,NULL,148,296,
Bright room in Spacious house close to Airport,AU,1.336805556,150,NULL,NULL,45,297,
"Fresh, Simple Sleep in Brooklyn!",US,-7.5,195,420,1200,53,298,
21 baltic street,AU,1.336805556,NULL,NULL,NULL,50,299,
CLEAN COMFORTABLE ROOM 7 MIN FR JFK,US,-7.5,0,NULL,NULL,35,300,
Charming brick brownstone (2nd floor),US,-7.5,0,NULL,NULL,89,301,
City Views Close to SI Ferry,US,-7.5,250,NULL,NULL,120,302,
"Suitabe for students, coubles, women, Turists",TR,1.838541667,NULL,601,2689,84,303,
Modern bright spacious duplex apartment,US,-7.5,200,NULL,NULL,250,304,
1 bedroom fully furnished with private bathroom,AU,1.336805556,320,NULL,NULL,45,305,
"★Union Square, Brand New★#F, Free W/D",US,-7.5,300,NULL,NULL,84,306,
Long term rental: Bright and Practical Apartment,TR,1.838541667,2600,NULL,NULL,132,307,
"2BR, Walk to the Beach, 2 Lanais, Stunning Views!",US,-7.5,NULL,NULL,NULL,185,308,
Modern NYC Studio Apartment Near Central Park!,US,-7.5,NULL,NULL,NULL,199,309,
PRIVATE FLAT AT TAKSIM SQUARE,TR,1.838541667,0,NULL,NULL,153,310,
TreeTops,AU,1.336805556,600,NULL,NULL,181,311,
Sunny room in modern building located in Bedstuy,US,-7.5,400,NULL,NULL,60,312,
The Parachute Loft Bedrm 2,US,-7.5,0,NULL,NULL,80,313,
Nice Small Studio Near Cntrl Park(Shared Bathroom),US,-7.5,800,NULL,NULL,100,314,
"VERY LARGE 5 Bedroom Home, free onsite parking",AU,1.336805556,1999,NULL,NULL,550,315,
Spacious Room/Private entry and Great Views,US,-7.5,NULL,NULL,NULL,95,316,
Private Sunny Bedroom in a Modern 2 Bedroom Co-op,US,-7.5,100,NULL,NULL,46,317,
"Luxury Room (rm2), 5 mins from Columbia",US,-7.5,200,NULL,NULL,100,318,
"Cozy, Convenient 1 Bed Apartment!!! UWS Manhattan",US,-7.5,200,NULL,NULL,110,319,
Spacious Sunny Bedroom near JMZ Subways,US,-7.5,0,NULL,NULL,73,320,
in the heart of williamsburg,US,-7.5,5100,NULL,NULL,300,321,
1 BDR PRIME HELLS KITCHEN LOCATION,US,-7.5,300,NULL,NULL,150,322,
Blach home,TR,1.838541667,NULL,1318,4218,185,323,
City Center,TR,1.838541667,NULL,NULL,NULL,211,324,
AMAZİNG BOSPHORUS FLAT,TR,1.838541667,596,NULL,NULL,596,325,
"Beautiful Beach Hale 3bed/2bath, steps to beach",US,-7.5,500,NULL,NULL,450,326,
Oceanfront Paradise Condo in Lahaina Towne,US,-7.5,500,NULL,NULL,215,327,
Penthouse Sands of Kahana Sandy Swimmable Beach,US,-7.5,2000,NULL,NULL,800,328,
Entire Spacious Artist Apartment,US,-7.5,100,NULL,NULL,140,329,
Cozy apartment great Area &location( 9 pax),TR,1.838541667,NULL,NULL,NULL,1213,330,
Heart of Willimsburg- 1 block from bedford L stop,US,-7.5,NULL,NULL,NULL,60,331,
Modern Waikiki Studio with Ocean Views 29A,US,-7.5,100,NULL,NULL,99,332,
Maui Beach House Chic Style with Tropical Views,US,-7.5,400,NULL,NULL,486,333,
Superior One Bedroom Golf Course n Mountain Views,US,-7.5,300,NULL,NULL,114,334,
Beachside in Paradise,US,-7.5,0,NULL,NULL,215,335,
